actual,proposed
0.30000463128089905,0.30000001192092896
0.3015044629573822,0.30000001192092896
0.30300432443618774,0.30000001192092896
0.3045041859149933,0.30000001192092896
0.30750390887260437,0.30000001192092896
0.3090038001537323,0.30000001192092896
0.15238399803638458,0.13736417889595032
0.15276455879211426,0.13478948175907135
0.15529286861419678,0.13142937421798706
0.15776026248931885,0.13182981312274933
0.1601690798997879,0.12953484058380127
0.15519747138023376,0.12466581910848618
0.1531791090965271,0.12338733673095703
0.1467219442129135,0.11743845790624619
0.13588865101337433,0.11239077150821686
0.11864502727985382,0.10238669067621231
0.10351292043924332,0.094085693359375
0.0841178223490715,0.08266918361186981
0.05006934329867363,0.06339706480503082
0.026684356853365898,0.05008891224861145
0.003488851711153984,0.037611689418554306
0.0,0.028423966839909554
0.0,0.010003187693655491
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.30000001192092896
0.0,0.016806159168481827
0.0,0.027181394398212433
0.00997406430542469,0.03787333145737648
0.022319070994853973,0.04494071379303932
0.043141577392816544,0.056515783071517944
0.05925390496850014,0.06567202508449554
0.075090691447258,0.07467906922101974
0.09938178211450577,0.08840733766555786
0.11894083023071289,0.0989508181810379
0.1294858455657959,0.10508356243371964
0.15294551849365234,0.11806854605674744
0.1629919409751892,0.12356977164745331
0.17725719511508942,0.1314127892255783
0.19132819771766663,0.13914723694324493
0.20085477828979492,0.14444689452648163
0.20590564608573914,0.1470210999250412
0.2109055519104004,0.1496582329273224
0.22021591663360596,0.15464957058429718
0.2207016497850418,0.15474526584148407
0.22556547820568085,0.15720313787460327
0.2260282337665558,0.15721464157104492
0.22215233743190765,0.1548234224319458
0.21835651993751526,0.1525011956691742
0.20591920614242554,0.14522245526313782
0.20239366590976715,0.14303956925868988
0.1858556866645813,0.13343805074691772
0.17391927540302277,0.1266450732946396
0.1577950268983841,0.11725998669862747
0.13753558695316315,0.10578779131174088
0.11754992604255676,0.094412662088871
0.09782540798187256,0.08309677243232727
0.07399089634418488,0.06966875493526459
0.04609508067369461,0.05396414175629616
0.018543172627687454,0.037673529237508774
3.7017241993453354e-05,0.027993394061923027
0.0,0.00015418608381878585
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.30000001192092896
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.002144131576642394
0.0,0.007680583745241165
0.0,0.01259727030992508
0.0,0.01775640808045864
0.0,0.024542484432458878
0.0,0.03045685403048992
0.004526791628450155,0.03656478971242905
0.014730039983987808,0.04182681068778038
0.024763567373156548,0.047688063234090805
0.030275912955403328,0.05086687207221985
0.031334370374679565,0.05122452974319458
0.036721475422382355,0.05446331202983856
0.037659935653209686,0.05478264391422272
0.03857304900884628,0.05559535697102547
0.04817967116832733,0.06044274568557739
0.05328323692083359,0.06358599662780762
0.06266822665929794,0.06873614341020584
0.05884190648794174,0.06658605486154556
0.050709523260593414,0.06186840683221817
0.03832881897687912,0.054781850427389145
0.030473140999674797,0.0504431389272213
0.027074240148067474,0.04839705303311348
0.019349420443177223,0.04403742402791977
0.01607506535947323,0.042432449758052826
0.012827565893530846,0.040050480514764786
0.013964492827653885,0.041018933057785034
0.006347143556922674,0.036853447556495667
0.0031744157895445824,0.03483033552765846
2.2924399672774598e-05,0.032854706048965454
0.0,0.031450096517801285
0.0,0.027007903903722763
0.0,0.025578264147043228
0.0,0.021324491128325462
0.0,0.019493691623210907
0.24316257238388062,0.30000001192092896
0.24158048629760742,0.19198577105998993
0.240006223320961,0.19104261696338654
0.238438680768013,0.1894676387310028
0.2412363886833191,0.19103872776031494
0.23962022364139557,0.18993541598320007
0.23801171779632568,0.18884886801242828
0.23641033470630646,0.18762652575969696
0.23481501638889313,0.1864759922027588
0.2332252711057663,0.18520689010620117
0.23164063692092896,0.1842179000377655
0.22570110857486725,0.18063166737556458
0.21546685695648193,0.1746162325143814
0.2053537666797638,0.16917237639427185
0.19535592198371887,0.16236825287342072
0.18110856413841248,0.1545075923204422
0.16702581942081451,0.14660580456256866
0.15309925377368927,0.13881553709506989
0.13932135701179504,0.13009823858737946
0.12132584303617477,0.12034661322832108
0.10352461785078049,0.11021322757005692
0.08154941350221634,0.09717585146427155
0.06416923552751541,0.08820744603872299
0.03823497146368027,0.07345369458198547
0.012577012181282043,0.05786401778459549
0.0,0.04180669039487839
0.0,0.028553396463394165
0.0,0.010537850670516491
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.30000001192092896
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.09990354627370834,0.30000001192092896
0.0964675024151802,0.12913702428340912
0.10171008110046387,0.13039110600948334
0.10679329186677933,0.13398440182209015
0.1073642298579216,0.1340901404619217
0.11220724880695343,0.13643167912960052
0.11254680156707764,0.1370786428451538
0.1171669065952301,0.1393354833126068
0.1172918826341629,0.13952232897281647
0.11734601855278015,0.13868758082389832
0.12169082462787628,0.14184293150901794
0.11719101667404175,0.13916143774986267
0.11269049346446991,0.13700586557388306
0.10382921248674393,0.13067466020584106
0.0993848368525505,0.12781290709972382
0.09493425488471985,0.1261436939239502
0.0861181765794754,0.12015966325998306
0.07735525071620941,0.115831159055233
0.06864213943481445,0.11115731298923492
0.04269520938396454,0.0959542766213417
0.029871657490730286,0.08812357485294342
0.021500252187252045,0.08492051810026169
0.013155543245375156,0.07892744988203049
0.004835963249206543,0.07416803389787674
0.17852817475795746,0.20390063524246216
0.17804427444934845,0.20122721791267395
0.17546765506267548,0.1949618011713028
0.17300528287887573,0.18875525891780853
0.15865902602672577,0.17962194979190826
0.14754478633403778,0.17376604676246643
0.13648511469364166,0.1654137372970581
0.12547548115253448,0.16002057492733002
0.11015394330024719,0.15365377068519592
0.09057701379060745,0.13900978863239288
0.07987604290246964,0.1337481439113617
0.0648445338010788,0.12598276138305664
0.04553968459367752,0.11564242094755173
0.030735261738300323,0.10477621853351593
0.016003474593162537,0.09832128137350082
0.00569842429831624,0.0925045758485794
0.0,0.08400291949510574
0.0,0.07785071432590485
0.0,0.07255613058805466
0.0,0.06858005374670029
0.0,0.05611345171928406
0.0,0.050428371876478195
0.0,0.04584184288978577
0.0,0.036268383264541626
0.0,0.30000001192092896
0.0,0.03531010076403618
0.0,0.022633787244558334
0.0,0.0203243475407362
0.0,0.014517911709845066
0.0,0.0069579011760652065
0.0,0.0009313803748227656
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.034712374210357666,0.0
0.042439479380846024,0.0
0.04572610557079315,0.0
0.040277235209941864,0.0
0.030574148520827293,0.0
0.029749134555459023,0.0
0.04203343018889427,0.0
0.04980923980474472,0.0
0.053143613040447235,0.0
0.05210097134113312,0.0
0.05546088144183159,0.0
0.05880187451839447,0.0
0.06212584301829338,0.0
0.0523567870259285,0.0
0.05147133022546768,0.0
0.05498243495821953,0.0
0.04975228011608124,0.0
0.044619932770729065,0.0
0.04394059255719185,0.0
0.03401174023747444,0.0
0.024817639961838722,0.0
0.015765562653541565,0.0
0.011207487434148788,0.0
0.006718310993164778,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0677979439496994,0.0
0.07433285564184189,0.0
0.08735580742359161,0.10512738674879074
0.10250319540500641,0.11332408338785172
0.1087823435664177,0.11644946783781052
0.11068019270896912,0.11778983473777771
0.12133555859327316,0.1237713024020195
0.12319118529558182,0.12454136461019516
0.1294489949941635,0.1278420090675354
0.13568836450576782,0.1306508630514145
0.1331927627325058,0.13034501671791077
0.13080254197120667,0.12814213335514069
0.1328723132610321,0.1292199194431305
0.13933855295181274,0.13258975744247437
0.13706238567829132,0.1312788724899292
0.12414328008890152,0.12459210306406021
0.1179099753499031,0.12015164643526077
0.11181861162185669,0.11598213762044907
0.10586366802453995,0.11297942698001862
0.09568043053150177,0.10772194713354111
0.08132421970367432,0.0
0.06720569729804993,0.0
0.05767383426427841,0.0
0.04394052177667618,0.0
0.017096206545829773,0.06261388212442398
0.0,0.05517933890223503
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.05735292285680771,0.0
0.06851090490818024,0.0
0.07520212233066559,0.0
0.07749313861131668,0.0
0.09288216382265091,0.10383377224206924
0.1037522628903389,0.10958830267190933
0.11017131805419922,0.1146460473537445
0.11656320840120316,0.11761274933815002
0.11857152730226517,0.11818800121545792
0.1293351948261261,0.12444769591093063
0.131296306848526,0.12488505244255066
0.133297860622406,0.1262182891368866
0.13969850540161133,0.1295924335718155
0.1417182832956314,0.1308857798576355
0.15249602496623993,0.13630492985248566
0.15447445213794708,0.13715332746505737
0.15649643540382385,0.13918793201446533
0.14984267950057983,0.13468609750270844
0.14770986139774323,0.13262920081615448
0.14567187428474426,0.13271117210388184
0.1480841338634491,0.1327434778213501
0.13744661211967468,0.12705841660499573
0.12265827506780624,0.11871420592069626
0.09820716083049774,0.10465417057275772
0.08410287648439407,0.09671315550804138
0.07022862136363983,0.08855962008237839
0.043496787548065186,0.0734683945775032
0.025873618200421333,0.063484787940979
0.012862449511885643,0.056142378598451614
0.0,0.04642530158162117
0.0,0.04177943989634514
0.0,0.03476886823773384
0.0,0.025434913113713264
0.0,0.01874607801437378
0.0,0.014250756241381168
0.0,0.005227976944297552
0.0,0.0012403159635141492
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.05711790919303894,0.0
0.06836885213851929,0.0
0.07515062391757965,0.0
0.08188779652118683,0.0
0.08858257532119751,0.0
0.09523817896842957,0.10080113261938095
0.10621563345193863,0.1074083223938942
0.12145646661520004,0.11582408100366592
0.12782889604568481,0.11889497935771942
0.1341785043478012,0.12235350161790848
0.13614873588085175,0.12386666983366013
0.13380125164985657,0.12058533728122711
0.13155430555343628,0.12200815230607986
0.13376307487487793,0.12080469727516174
0.12728634476661682,0.11817906051874161
0.1253211796283722,0.11709143221378326
0.12344185262918472,0.11566516757011414
0.12164505571126938,0.11428826302289963
0.12428665906190872,0.11564167588949203
0.11822612583637238,0.11222516000270844
0.11230210214853287,0.10888122767210007
0.10650929063558578,0.10510244220495224
0.1008414775133133,0.10161134600639343
0.09093475341796875,0.09672942012548447
0.08556254208087921,0.09331183135509491
0.07593914121389389,0.08773530274629593
0.0664786696434021,0.08231191337108612
0.06153339892625809,0.07954218238592148
0.05667704716324806,0.07668809592723846
0.04754673317074776,0.07150696963071823
0.04291759058833122,0.06874412298202515
0.03836313262581825,0.06629657000303268
0.03388042375445366,0.06368184089660645
0.029466282576322556,0.0611860565841198
0.016399947926402092,0.0537608303129673
0.003516565542668104,0.04661155864596367
0.0,0.041712138801813126
0.0,0.02986101433634758
0.0,0.01806505210697651
0.0,0.013613871298730373
0.0,0.012278152629733086
0.0,0.01234377734363079
0.0,0.00464322604238987
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.033604901283979416,0.0
0.0411984920501709,0.0
0.04435552656650543,0.0
0.05185791477560997,0.0
0.05928792804479599,0.0
0.06664884090423584,0.0
